Date,Price
3/1/2023,18.92245
4/1/2023,19.22326
5/1/2023,19.35055
6/1/2023,19.3378
9/1/2023,19.44992
10/1/2023,19.49215
11/1/2023,19.56555
12/1/2023,19.21228
13/1/2023,19.06255
16/1/2023,19.0677
17/1/2023,18.92843
18/1/2023,19.04263
19/1/2023,18.9514
20/1/2023,19.08225
23/1/2023,19.2672
24/1/2023,19.17503
25/1/2023,19.12212
26/1/2023,19.32568
27/1/2023,19.2128
30/1/2023,19.3009
31/1/2023,19.25427
1/2/2023,19.19242
2/2/2023,19.09813
3/2/2023,19.27068
6/2/2023,19.50032
7/2/2023,19.32338
8/2/2023,19.33654
9/2/2023,19.35801
10/2/2023,19.25939
13/2/2023,19.40335
14/2/2023,19.47234
15/2/2023,19.54784
16/2/2023,19.5005
17/2/2023,19.51945
20/2/2023,19.57394
21/2/2023,19.58905
22/2/2023,19.53785
23/2/2023,19.4683
24/2/2023,19.5475
27/2/2023,19.5715
28/2/2023,19.58925
1/3/2023,19.79823
2/3/2023,19.763
3/3/2023,19.69765
6/3/2023,19.55635
7/3/2023,19.6105
8/3/2023,19.71114
9/3/2023,19.51459
10/3/2023,19.46649
13/3/2023,19.44245
14/3/2023,19.49986
15/3/2023,19.35725
16/3/2023,19.39535
17/3/2023,19.1375
20/3/2023,19.1065
21/3/2023,19.2682
22/3/2023,19.1633
23/3/2023,19.15875
24/3/2023,19.02515
27/3/2023,19.11505
28/3/2023,19.02874
29/3/2023,19.26745
30/3/2023,19.30426
31/3/2023,19.3225
3/4/2023,19.25169
4/4/2023,19.13604
5/4/2023,19.06319
6/4/2023,19.13889
7/4/2023,19.21451
10/4/2023,19.38495
11/4/2023,19.39146
12/4/2023,19.3484
13/4/2023,19.29099
14/4/2023,19.46865
17/4/2023,19.53985
18/4/2023,19.4877
19/4/2023,19.53985
20/4/2023,19.499
21/4/2023,19.44172
24/4/2023,19.44993
25/4/2023,19.2667
26/4/2023,19.2557
27/4/2023,19.326
28/4/2023,19.66696
1/5/2023,19.75265
2/5/2023,19.69826
3/5/2023,19.46465
4/5/2023,19.41615
5/5/2023,19.4815
8/5/2023,19.52325
9/5/2023,19.52845
10/5/2023,19.36331
11/5/2023,19.33411
12/5/2023,19.47155
15/5/2023,19.5551
16/5/2023,19.48724
17/5/2023,19.64697237
18/5/2023,19.67652387
19/5/2023,19.64208944
22/5/2023,19.6678019
23/5/2023,19.61613045
24/5/2023,19.72908157
25/5/2023,19.74858819
26/5/2023,19.8760521
29/5/2023,19.82259294
30/5/2023,19.7140355
31/5/2023,19.57281477
1/6/2023,19.53665269
2/6/2023,19.68079645
5/6/2023,19.60672492
6/6/2023,19.58683784
7/6/2023,19.60479816
8/6/2023,19.5091947
9/6/2023,19.51270042
12/6/2023,19.50847666
13/6/2023,19.54237817
14/6/2023,19.52732088
15/6/2023,19.70390907
16/6/2023,19.89610033
19/6/2023,19.81834095
20/6/2023,19.68470284
21/6/2023,19.7576009
22/6/2023,19.88581133
23/6/2023,19.91524014
26/6/2023,19.81371999
27/6/2023,19.9432467
28/6/2023,19.94773014
29/6/2023,19.91629773
30/6/2023,19.85593792
3/7/2023,19.94768967
4/7/2023,19.98776956
5/7/2023,19.91952763
6/7/2023,19.85624897
7/7/2023,19.66232556
10/7/2023,19.54720812
11/7/2023,19.46260892
12/7/2023,19.32749538
13/7/2023,19.30799896
14/7/2023,19.39156896
17/7/2023,19.32327444
18/7/2023,19.30139443
19/7/2023,19.31040681
20/7/2023,19.52234546
21/7/2023,19.71733799
24/7/2023,19.68704558
25/7/2023,19.74183262
26/7/2023,19.60534869
27/7/2023,19.45166927
28/7/2023,19.73528581
31/7/2023,19.91128028
1/8/2023,19.94781229
2/8/2023,19.90359552
3/8/2023,19.85254701
4/8/2023,19.72211711
7/8/2023,19.78839755
8/8/2023,19.81194125
9/8/2023,19.88558773
10/8/2023,19.9868862
11/8/2023,19.96697011
14/8/2023,19.99601607
15/8/2023,19.87567294
16/8/2023,19.9482847
17/8/2023,19.9664572
18/8/2023,19.89880133
21/8/2023,20.06022609
22/8/2023,19.96698812
23/8/2023,19.87482951
24/8/2023,20.0305193
25/8/2023,20.07449111
28/8/2023,20.09178312
29/8/2023,20.02710038
30/8/2023,20.02456481
31/8/2023,20.00390352
1/9/2023,20.11256788
4/9/2023,20.13244414
5/9/2023,20.22060031
6/9/2023,20.17033774
7/9/2023,20.06142531
8/9/2023,20.07326823
11/9/2023,20.07419519
12/9/2023,20.14402776
13/9/2023,20.27863266
14/9/2023,20.22937435
15/9/2023,20.30692441
18/9/2023,20.24495954
19/9/2023,20.24434459
20/9/2023,20.30040616
21/9/2023,20.17814784
22/9/2023,20.32793444
25/9/2023,20.35127144
26/9/2023,20.39164991
27/9/2023,20.38970774
28/9/2023,20.43855995
29/9/2023,20.45595632
2/10/2023,20.4424718
3/10/2023,20.33194868
4/10/2023,20.36633176
5/10/2023,20.32333723
6/10/2023,20.42881714
9/10/2023,20.36373011
10/10/2023,20.40549738
11/10/2023,20.43106483
12/10/2023,20.49413117
13/10/2023,20.45241048
16/10/2023,20.45738461
17/10/2023,20.45083181
18/10/2023,20.46063378
19/10/2023,20.41457098
20/10/2023,20.44959648
23/10/2023,20.47964347
24/10/2023,20.49560111
25/10/2023,20.49536491
26/10/2023,20.51954717
